iter	RMSE
0	6290.407417
1	5985.116079
2	5698.329352
3	5432.168348
4	5180.037919
5	4948.465953
6	4734.359096
7	4531.724672
8	4344.022902
9	4166.601824
10	4003.188807
11	3847.028613
12	3703.469223
13	3572.673084
14	3450.285346
15	3339.720496
16	3234.471134
17	3139.288955
18	3049.593181
19	2969.813301
20	2894.912312
21	2826.284193
22	2762.21568
23	2702.635997
24	2642.469993
25	2586.521028
26	2535.951261
27	2489.495962
28	2445.477748
29	2406.984561
30	2372.021982
31	2337.987348
32	2308.489624
33	2280.579016
34	2255.064825
35	2226.980521
36	2202.878574
37	2180.526349
38	2159.727335
39	2140.995363
40	2124.749977
41	2109.232907
42	2095.426423
43	2081.931221
44	2069.764782
45	2057.901153
46	2048.112891
47	2036.695231
48	2027.242213
49	2019.296848
50	2011.547019
51	2002.975465
52	1995.51536
53	1989.563265
54	1982.935856
55	1977.097442
56	1971.983899
57	1967.005304
58	1962.525873
59	1957.999207
60	1953.398243
61	1949.085128
62	1945.059088
63	1940.513738
64	1936.283464
65	1932.8453
66	1929.519146
67	1926.864365
68	1924.174861
69	1921.568338
70	1918.450765
71	1913.837294
72	1910.547236
73	1907.846614
74	1905.185409
75	1902.436785
76	1899.150591
77	1896.071722
78	1893.217933
79	1890.950878
80	1888.153539
81	1886.44532
82	1884.501417
83	1882.069864
84	1880.411887
85	1878.410243
86	1876.655366
87	1874.396145
88	1872.275365
89	1870.01209
90	1868.128064
91	1866.386957
92	1864.595815
93	1863.1327
94	1860.944238
95	1859.849904
96	1858.419578
97	1857.38332
98	1855.438673
99	1853.826147
100	1852.546649
101	1850.497938
102	1848.976387
103	1847.995161
104	1846.602614
105	1845.418318
106	1844.166899
107	1842.635806
108	1841.16402
109	1840.026092
110	1838.461754
111	1837.678351
112	1836.639359
113	1835.56759
114	1834.352318
115	1833.363702
116	1832.446525
117	1831.336185
118	1830.431247
119	1829.581496
120	1828.806816
121	1828.102987
122	1827.13188
123	1826.664237
124	1825.901414
125	1824.478151
126	1823.476709
127	1822.620989
128	1821.76696
129	1821.082406
130	1820.264611
131	1819.504159
132	1818.184875
133	1816.714853
134	1815.690143
135	1814.968971
136	1814.015727
137	1813.296043
138	1812.717444
139	1811.763161
140	1810.682819
141	1809.709377
142	1809.22608
143	1808.599549
144	1808.052626
145	1807.549395
146	1806.837286
147	1806.281651
148	1805.760444
149	1805.175781
150	1804.367392
151	1803.657051
152	1802.911785
153	1801.965826
154	1800.998407
155	1800.107394
156	1798.867715
157	1798.049348
158	1797.51142
159	1796.704314
160	1795.781092
161	1794.764534
162	1794.24483
163	1793.807538
164	1793.393331
165	1792.690619
166	1791.985502
167	1791.696733
168	1790.909058
169	1790.534537
170	1789.740409
171	1789.15667
172	1788.640784
173	1788.292073
174	1787.615511
175	1786.772474
176	1785.872154
177	1785.338799
178	1784.950989
179	1784.185408
180	1783.869352
181	1783.463264
182	1782.76101
183	1782.157916
184	1781.485639
185	1781.050169
186	1780.546669
187	1779.976944
188	1779.544494
189	1778.803185
190	1778.413993
191	1777.929671
192	1777.439642
193	1777.112883
194	1776.705779
195	1776.192773
196	1775.59673
197	1775.19527
198	1774.686424
199	1774.054444
200	1773.706684
201	1773.287785
202	1773.023674
203	1772.68711
204	1771.957699
205	1771.439744
206	1770.790902
207	1770.156286
208	1769.475368
209	1769.162762
210	1768.62456
211	1768.205883
212	1767.908171
213	1767.318311
214	1766.697144
215	1766.10813
216	1765.67748
217	1765.263579
218	1764.515203
219	1763.928083
220	1763.225614
221	1762.961151
222	1762.332123
223	1761.96186
224	1761.729656
225	1761.051722
226	1760.662755
227	1760.08227
228	1759.560635
229	1759.347477
230	1759.063806
231	1758.497188
232	1758.058295
233	1757.737425
234	1757.435824
235	1756.784979
236	1756.351222
237	1756.031183
238	1755.677792
239	1755.410015
240	1754.907518
241	1754.482572
242	1753.93151
243	1753.546296
244	1753.14008
245	1752.704772
246	1752.506244
247	1751.985922
248	1751.70618
249	1751.339006
250	1750.948896
251	1750.544418
252	1749.938628
253	1749.681436
254	1749.44316
255	1749.086703
256	1748.708801
257	1748.093996
258	1747.708816
259	1746.822772
260	1746.667517
261	1746.422327
262	1745.748804
263	1745.402729
264	1744.95012
265	1744.200983
266	1743.736169
267	1743.396195
268	1743.087576
269	1742.926519
270	1742.74473
271	1742.42054
272	1741.962403
273	1741.690731
274	1741.452478
275	1740.922903
276	1740.169699
277	1739.754465
278	1739.382785
279	1739.052662
280	1738.478983
281	1738.181461
282	1737.596601
283	1737.317913
284	1736.940635
285	1736.356475
286	1736.152871
287	1735.707005
288	1735.556215
289	1735.321563
290	1734.678797
291	1734.2467
292	1733.883488
293	1733.628187
294	1733.388153
295	1732.784742
296	1732.39427
297	1732.221107
298	1732.078973
299	1731.655818
300	1731.270288
301	1730.74869
302	1730.4608
303	1730.346213
304	1730.042694
305	1729.458042
306	1729.216704
307	1729.017105
308	1728.762057
309	1728.471662
310	1728.200773
311	1727.963357
312	1727.543607
313	1727.234853
314	1726.906746
315	1726.584486
