iter	RMSE
0	4185.802901
1	3842.975188
2	3539.862296
3	3280.751036
4	3061.954563
5	2870.256099
6	2710.151594
7	2576.091568
8	2466.347683
9	2364.515966
10	2282.212404
11	2208.78604
12	2146.879194
13	2097.742877
14	2051.664924
15	2013.174525
16	1982.345747
17	1956.904648
18	1933.60223
19	1915.66906
20	1898.825352
21	1885.019957
22	1870.224697
23	1858.791343
24	1848.617174
25	1839.481639
26	1832.188407
27	1823.931959
28	1814.891741
29	1806.224798
30	1798.865713
31	1792.998142
32	1784.316465
33	1778.68273
34	1773.158553
35	1767.394128
36	1762.78431
37	1757.161992
38	1753.343334
39	1748.893211
40	1744.236325
41	1741.97403
42	1739.805778
43	1737.487989
44	1734.039615
45	1731.259832
46	1729.435305
47	1726.235848
48	1724.034615
49	1721.861769
50	1719.680454
51	1717.475101
52	1716.123972
53	1714.362541
54	1711.934416
55	1710.244072
56	1708.110752
57	1706.043543
58	1704.520196
59	1701.579358
60	1699.923554
61	1697.718678
62	1696.356407
63	1694.855597
64	1692.580443
65	1690.735407
66	1689.556061
67	1688.224444
68	1685.977665
69	1684.420542
70	1683.21504
71	1682.211837
72	1680.538393
73	1679.081041
74	1677.067527
75	1675.860803
76	1674.402303
77	1672.558692
78	1669.787025
79	1667.168961
80	1665.705276
81	1663.318698
82	1661.672896
83	1659.447947
84	1657.677063
85	1656.334401
86	1655.360601
87	1654.564287
88	1652.311578
89	1650.466295
90	1649.576274
91	1648.526076
92	1647.948747
93	1647.103876
94	1646.03551
95	1644.927372
96	1643.640191
97	1642.624195
98	1641.188792
99	1640.503257
100	1639.118381
101	1637.712597
102	1636.112377
103	1634.107481
104	1632.574158
105	1631.422279
106	1630.363189
107	1629.103991
108	1628.283539
109	1626.857127
110	1626.150956
111	1624.429683
112	1623.103689
113	1621.056841
114	1620.062234
115	1618.687418
116	1617.26891
117	1616.907341
118	1614.815616
119	1613.624054
120	1612.035205
121	1610.885913
122	1609.542363
123	1608.627681
124	1607.32657
125	1606.541413
126	1605.843486
127	1604.65265
128	1603.829096
129	1602.76008
130	1601.947402
131	1600.7716
132	1599.682973
133	1598.688358
134	1597.465818
135	1596.529143
136	1595.161176
137	1593.670718
138	1593.04392
139	1592.213071
140	1590.697045
141	1589.633263
142	1588.437538
143	1587.116467
144	1586.580193
145	1585.216443
146	1584.664448
147	1584.047024
148	1583.016184
149	1581.628019
150	1581.104445
151	1580.319519
152	1579.534139
153	1578.980262
154	1578.582288
155	1577.525449
156	1576.178915
157	1575.195689
158	1574.73429
159	1573.953576
160	1573.054168
161	1572.229755
162	1571.540875
163	1571.258275
164	1570.463873
165	1570.018208
166	1569.436635
167	1568.76434
168	1568.20275
169	1567.202421
170	1566.425803
171	1565.685174
172	1565.092883
173	1563.597194
174	1563.116675
175	1562.617875
176	1562.188712
177	1561.863163
178	1561.128189
179	1560.789778
180	1559.976883
181	1559.191454
182	1558.926853
183	1558.679924
184	1558.207633
185	1557.575101
186	1556.961347
187	1556.646512
188	1555.919141
189	1554.622104
190	1554.462391
191	1553.817477
192	1552.776088
193	1552.299487
194	1551.3166
195	1550.035971
196	1549.165208
197	1548.539506
198	1548.082645
199	1547.622629
200	1546.939012
201	1546.116378
202	1545.635382
203	1545.161282
204	1544.75004
205	1544.261803
206	1543.7241
207	1543.543329
208	1543.308969
209	1543.012212
210	1542.569336
211	1541.711781
212	1541.263781
213	1540.639518
214	1540.213445
215	1539.987061
216	1539.729702
217	1539.196503
218	1538.621429
219	1538.169189
220	1537.510669
221	1536.984387
222	1536.694055
223	1535.797178
224	1535.075898
225	1534.137355
226	1533.588708
227	1532.314563
228	1531.412431
229	1531.084167
230	1530.548644
231	1529.819794
232	1529.287553
233	1528.817436
234	1528.226478
235	1527.858111
236	1527.253872
237	1526.417048
238	1526.142052
239	1525.557855
240	1525.18321
241	1524.774818
242	1524.426702
243	1523.970405
244	1523.203637
245	1522.895058
246	1522.249469
247	1522.036758
248	1521.210731
249	1520.941455
250	1520.543703
251	1520.017102
252	1519.657638
253	1519.493453
254	1518.78072
255	1518.460511
256	1517.726565
257	1517.517459
258	1516.915743
259	1516.388594
260	1515.928537
261	1515.626813
262	1515.403151
263	1514.74159
264	1514.170301
265	1513.620326
266	1513.031449
267	1512.950772
268	1512.379052
269	1512.000906
270	1511.31863
271	1510.949042
272	1510.58375
273	1510.398738
274	1509.756003
275	1509.23732
276	1509.093933
277	1508.823722
278	1508.154104
279	1507.869042
280	1507.413581
281	1507.012105
282	1506.72955
283	1506.32643
284	1505.834483
285	1505.43735
286	1505.142554
287	1504.888257
288	1504.593513
289	1504.461875
290	1503.996006
291	1503.56544
292	1503.131974
293	1502.956802
294	1502.599065
295	1502.285641
296	1501.720921
297	1501.599575
298	1501.426575
299	1500.911764
300	1500.480709
301	1499.810123
302	1499.09139
303	1498.587817
304	1498.022906
305	1497.734382
306	1497.598844
307	1497.050578
308	1496.825516
309	1496.506236
310	1496.305183
311	1495.926655
312	1495.730575
313	1495.378749
314	1495.020769
315	1494.521665
316	1494.342147
317	1494.049932
318	1493.855999
319	1493.206799
320	1493.062329
321	1492.931106
322	1491.911421
323	1491.540796
324	1491.199073
325	1490.771742
326	1490.395953
327	1490.057718
328	1489.879364
329	1489.530496
330	1489.46001
331	1488.96031
332	1488.521501
333	1488.048844
334	1487.702744
335	1487.414702
336	1487.312136
337	1486.996156
338	1486.631379
339	1486.333613
340	1485.816629
341	1485.53621
342	1485.363327
343	1485.002384
344	1484.198045
345	1483.939117
346	1483.571421
347	1483.108873
348	1482.825386
349	1482.20332
350	1481.937536
351	1481.590413
352	1481.126911
353	1480.903599
354	1480.460306
355	1480.118634
356	1479.563364
357	1479.068346
358	1478.240782
359	1477.777134
360	1477.543874
361	1477.321258
362	1476.915312
363	1476.589998
364	1476.17184
365	1475.818723
366	1475.374542
367	1474.872111
368	1474.550334
369	1474.349164
370	1474.012693
371	1473.49561
372	1473.418989
373	1472.981788
374	1472.594882
375	1472.009194
376	1471.844308
377	1471.564656
378	1471.053536
379	1470.730517
380	1470.620237
381	1470.394183
382	1470.217995
383	1470.081825
384	1469.71824
385	1469.399589
386	1468.68986
387	1468.213239
388	1467.928649
389	1467.692244
390	1467.089129
391	1466.784217
392	1466.381646
393	1466.014509
394	1465.793585
395	1464.833689
396	1464.595145
397	1464.098483
398	1463.998378
399	1463.890941
400	1463.314756
401	1463.06523
402	1462.995954
403	1462.558742
404	1462.39313
405	1462.096936
406	1461.793062
407	1461.271027
408	1461.108982
409	1460.859556
410	1460.706271
411	1460.422246
412	1460.089552
413	1459.761644
414	1459.540807
415	1459.361113
416	1459.013534
417	1458.795246
418	1458.495926
419	1458.117207
420	1457.77817
421	1457.567163
422	1457.438897
