iter	Passed	Remaining
0	27	39165
1	61	42781
2	86	40488
3	109	38343
4	138	38519
5	160	37302
6	182	36411
7	202	35277
8	227	35133
9	249	34660
10	272	34406
11	292	33882
12	313	33402
13	336	33343
14	354	32719
15	370	32077
16	393	32025
17	411	31570
18	429	31182
19	453	31271
20	471	30965
21	497	31144
22	517	30998
23	534	30626
24	555	30549
25	580	30686
26	597	30378
27	615	30146
28	633	29962
29	655	29930
30	675	29826
31	701	29985
32	723	29962
33	745	29957
34	769	30003
35	794	30088
36	818	30146
37	838	30039
38	855	29855
39	878	29861
40	899	29807
41	922	29830
42	944	29795
43	962	29676
44	978	29472
45	1000	29455
46	1020	29379
47	1043	29386
48	1063	29310
49	1080	29179
50	1101	29133
51	1123	29128
52	1142	29028
53	1163	29012
54	1184	28969
55	1204	28901
56	1222	28811
57	1247	28853
58	1265	28754
59	1287	28751
60	1311	28779
61	1332	28751
62	1352	28698
63	1369	28583
64	1388	28518
65	1405	28398
66	1424	28337
67	1443	28274
68	1464	28251
69	1482	28163
70	1503	28143
71	1524	28119
72	1545	28094
73	1562	27992
74	1582	27965
75	1602	27911
76	1619	27831
77	1640	27810
78	1660	27757
79	1682	27753
80	1705	27774
81	1724	27711
82	1743	27658
83	1762	27616
84	1784	27614
85	1807	27612
86	1827	27575
87	1848	27554
88	1864	27469
89	1886	27459
90	1911	27500
91	1931	27461
92	1950	27417
93	1974	27429
94	1994	27393
95	2017	27399
96	2036	27361
97	2058	27350
98	2079	27326
99	2104	27352
100	2125	27341
101	2147	27324
102	2168	27306
103	2190	27298
104	2212	27284
105	2235	27293
106	2256	27272
107	2278	27252
108	2301	27257
109	2321	27228
110	2346	27252
111	2369	27248
112	2392	27245
113	2415	27252
114	2433	27188
115	2451	27135
116	2475	27142
117	2497	27134
118	2517	27102
119	2539	27085
120	2555	27014
121	2576	26986
122	2598	26976
123	2620	26968
124	2640	26930
125	2660	26899
126	2684	26906
127	2702	26854
128	2726	26864
129	2749	26860
130	2772	26856
131	2796	26861
132	2820	26867
133	2839	26823
134	2859	26798
135	2882	26792
136	2906	26797
137	2925	26755
138	2946	26734
139	2965	26690
140	2988	26687
141	3007	26640
142	3028	26617
143	3051	26612
144	3074	26606
145	3093	26572
146	3114	26548
147	3136	26531
148	3157	26513
149	3176	26469
150	3198	26453
151	3219	26432
152	3235	26371
153	3260	26378
154	3282	26364
155	3306	26367
156	3325	26331
157	3350	26336
158	3375	26342
159	3392	26293
160	3413	26267
161	3436	26260
162	3458	26242
163	3478	26219
164	3503	26221
165	3524	26200
166	3549	26210
167	3568	26169
168	3587	26127
169	3609	26112
170	3627	26070
171	3649	26057
172	3672	26043
173	3695	26036
174	3721	26051
175	3745	26051
176	3771	26058
177	3795	26056
178	3820	26061
179	3842	26041
180	3868	26054
181	3891	26046
182	3914	26031
183	3938	26027
184	3959	26001
185	3982	25991
186	4006	25991
187	4028	25967
188	4049	25948
189	4070	25923
190	4094	25920
191	4117	25906
192	4139	25890
193	4165	25893
194	4193	25910
195	4218	25913
196	4241	25898
197	4264	25889
198	4287	25876
199	4312	25873
200	4331	25840
201	4353	25816
202	4374	25795
203	4396	25777
204	4416	25747
205	4439	25729
206	4460	25704
207	4486	25710
208	4510	25705
209	4536	25705
210	4555	25668
211	4575	25639
212	4595	25608
213	4615	25577
214	4634	25542
215	4652	25504
216	4673	25479
217	4693	25446
218	4712	25415
219	4734	25391
220	4757	25382
221	4780	25366
222	4801	25340
223	4823	25322
224	4842	25287
225	4863	25263
226	4881	25223
227	4901	25193
228	4925	25184
229	4945	25156
230	4968	25146
231	4985	25101
232	5007	25082
233	5029	25060
234	5051	25043
235	5074	25026
236	5099	25024
237	5119	24993
238	5146	25001
239	5170	24992
240	5187	24945
241	5207	24919
242	5227	24890
243	5246	24857
244	5266	24827
245	5288	24808
246	5306	24770
247	5326	24742
248	5350	24733
249	5367	24692
250	5391	24679
251	5414	24665
252	5434	24636
253	5450	24590
254	5471	24567
255	5494	24554
256	5514	24525
257	5539	24518
258	5559	24491
259	5586	24494
260	5608	24474
261	5632	24465
262	5652	24438
263	5673	24412
264	5697	24402
265	5716	24372
266	5743	24372
267	5764	24347
268	5783	24318
269	5805	24295
270	5827	24277
271	5850	24262
272	5871	24240
273	5895	24225
274	5913	24191
275	5936	24176
276	5960	24163
277	5981	24140
278	6002	24116
279	6027	24108
280	6047	24080
281	6071	24069
282	6096	24063
283	6114	24027
284	6136	24006
285	6158	23988
286	6178	23962
287	6197	23930
288	6220	23915
289	6245	23903
290	6267	23885
291	6291	23872
292	6314	23856
293	6338	23846
294	6361	23830
295	6385	23815
296	6407	23797
297	6427	23767
298	6448	23745
299	6472	23731
300	6495	23715
301	6515	23687
302	6534	23658
303	6561	23655
304	6582	23632
305	6607	23622
306	6629	23601
307	6648	23572
308	6670	23550
309	6690	23525
310	6711	23501
311	6733	23481
312	6755	23462
313	6778	23445
314	6805	23441
315	6829	23426
316	6853	23414
317	6875	23392
318	6899	23379
319	6921	23358
320	6943	23338
321	6962	23308
322	6982	23281
323	7005	23265
324	7029	23252
325	7051	23231
326	7070	23201
327	7093	23183
328	7114	23160
329	7136	23139
330	7156	23113
331	7181	23100
332	7207	23095
333	7231	23079
334	7251	23051
335	7269	23020
336	7289	22993
337	7309	22966
338	7329	22939
339	7354	22928
340	7379	22918
341	7403	22903
342	7429	22893
343	7448	22865
344	7470	22845
345	7491	22822
346	7518	22816
347	7545	22810
348	7572	22805
349	7594	22784
350	7617	22765
351	7640	22749
352	7666	22738
353	7688	22718
354	7711	22699
355	7728	22665
356	7751	22645
357	7772	22622
358	7796	22607
359	7822	22599
360	7840	22565
361	7865	22553
362	7885	22526
363	7907	22505
364	7930	22486
365	7949	22458
366	7969	22432
367	7991	22410
368	8015	22396
369	8039	22380
370	8059	22352
371	8079	22326
372	8103	22311
373	8125	22290
374	8145	22263
375	8167	22243
376	8186	22213
377	8208	22192
378	8231	22174
379	8253	22154
380	8277	22138
381	8300	22119
382	8322	22098
383	8345	22081
384	8371	22069
385	8397	22059
386	8422	22045
387	8448	22034
388	8475	22027
389	8501	22015
390	8521	21991
391	8545	21975
392	8570	21959
393	8593	21940
394	8618	21928
395	8642	21910
396	8667	21897
397	8691	21882
398	8718	21873
399	8741	21853
400	8766	21839
401	8790	21823
402	8815	21807
403	8839	21791
404	8865	21781
405	8893	21772
406	8916	21755
407	8941	21740
408	8967	21728
409	8989	21706
410	9012	21687
411	9030	21656
412	9052	21634
413	9073	21610
414	9095	21588
415	9118	21568
416	9144	21556
417	9168	21540
418	9194	21525
419	9218	21510
420	9238	21482
421	9261	21464
422	9278	21429
423	9303	21415
424	9320	21382
425	9343	21363
426	9362	21334
427	9385	21313
428	9407	21293
429	9427	21267
430	9454	21256
431	9473	21226
432	9496	21207
433	9517	21184
434	9538	21159
435	9561	21140
436	9583	21119
437	9607	21102
438	9633	21089
439	9660	21076
440	9681	21053
441	9699	21023
442	9725	21009
443	9749	20992
444	9771	20969
445	9792	20946
446	9810	20916
447	9832	20894
448	9853	20869
449	9875	20847
450	9898	20828
451	9919	20805
452	9940	20781
453	9963	20761
454	9987	20743
455	10007	20717
456	10031	20699
457	10056	20683
458	10080	20665
459	10103	20645
460	10125	20625
461	10153	20614
462	10176	20594
463	10198	20573
464	10221	20551
465	10244	20531
466	10263	20505
467	10283	20479
468	10304	20454
469	10326	20434
470	10347	20408
471	10369	20387
472	10394	20372
473	10414	20346
474	10439	20329
475	10462	20309
476	10483	20286
477	10501	20256
478	10523	20233
479	10545	20211
480	10569	20194
481	10587	20164
482	10610	20144
483	10634	20126
484	10657	20107
485	10680	20086
486	10701	20061
487	10721	20037
488	10742	20013
489	10761	19985
490	10787	19971
491	10813	19957
492	10836	19936
493	10859	19917
494	10882	19895
495	10904	19873
496	10930	19859
497	10953	19839
498	10980	19825
499	11003	19806
500	11029	19792
501	11051	19768
502	11072	19745
503	11094	19724
504	11117	19703
505	11140	19682
506	11160	19657
507	11183	19636
508	11205	19614
509	11230	19597
510	11252	19576
511	11275	19556
512	11300	19539
513	11325	19521
514	11345	19497
515	11363	19468
516	11384	19443
517	11406	19422
518	11428	19400
519	11454	19384
520	11478	19365
521	11502	19347
522	11527	19329
523	11547	19305
524	11569	19282
525	11593	19263
526	11614	19239
527	11637	19218
528	11656	19192
529	11669	19155
530	11693	19137
531	11717	19117
532	11738	19094
533	11759	19069
534	11777	19042
535	11800	19021
536	11823	19000
537	11843	18975
538	11869	18959
539	11888	18933
540	11913	18916
541	11939	18901
542	11963	18882
543	11988	18864
544	12011	18843
545	12032	18819
546	12056	18801
547	12077	18777
548	12098	18754
549	12119	18730
550	12143	18710
551	12164	18687
552	12189	18669
553	12213	18650
554	12234	18627
555	12254	18601
556	12276	18579
557	12301	18561
558	12321	18537
559	12344	18517
560	12367	18496
561	12383	18465
562	12407	18445
563	12427	18421
564	12448	18397
565	12469	18374
566	12495	18357
567	12515	18332
568	12539	18313
569	12566	18299
570	12591	18280
571	12616	18262
572	12636	18237
573	12665	18226
574	12690	18208
575	12712	18186
576	12735	18165
577	12758	18144
578	12782	18125
579	12805	18103
580	12826	18081
581	12847	18056
582	12870	18035
583	12893	18015
584	12920	18000
585	12945	17982
586	12965	17957
587	12991	17940
588	13012	17916
589	13034	17894
590	13057	17873
591	13076	17847
592	13096	17822
593	13115	17796
594	13137	17773
595	13157	17749
596	13179	17727
597	13206	17711
598	13228	17688
599	13249	17665
600	13273	17645
601	13294	17622
602	13312	17595
603	13334	17572
604	13358	17553
605	13385	17537
606	13407	17515
607	13428	17492
608	13445	17463
609	13467	17441
610	13489	17419
611	13512	17398
612	13537	17380
613	13564	17363
614	13585	17341
615	13610	17322
616	13632	17299
617	13652	17275
618	13672	17250
619	13689	17221
620	13712	17201
621	13738	17184
622	13760	17162
623	13787	17145
624	13809	17123
625	13832	17103
626	13853	17079
627	13875	17057
628	13898	17035
629	13919	17012
630	13939	16988
631	13958	16962
632	13980	16940
633	14001	16916
634	14019	16889
635	14041	16867
636	14064	16846
637	14084	16822
638	14110	16804
639	14131	16781
640	14156	16762
641	14181	16743
642	14203	16721
643	14227	16701
644	14249	16679
645	14269	16655
646	14294	16636
647	14312	16609
648	14332	16584
649	14356	16565
650	14378	16543
651	14401	16522
652	14427	16503
653	14450	16483
654	14476	16465
655	14497	16442
656	14518	16419
657	14543	16399
658	14561	16373
659	14585	16353
660	14607	16330
661	14630	16309
662	14654	16289
663	14678	16270
664	14697	16244
665	14720	16223
666	14746	16205
667	14764	16179
668	14784	16154
669	14809	16135
670	14830	16112
671	14853	16091
672	14876	16070
673	14900	16050
674	14918	16024
675	14946	16007
676	14967	15984
677	14987	15959
678	15010	15939
